Species,Name,Family,Habitat,Length (cm),Trophic Level,Status
umbrina ronchus,fusca drum,sciaenidae,demersal,100.0 tl,3.4,native
upeneus moluccensis,goldband goatfish,mullidae,reef-associated,22.5 tl,3.6,introduced
upeneus pori,por's goatfish,mullidae,demersal,19.0 tl,3.5,introduced
uranoscopus scaber,stargazer,uranoscopidae,demersal,56.4 tl,4.4,native
urogymnus asperrimus,porcupine whipray,dasyatidae,reef-associated,147.0 wd,3.5,questionable
valenciennellus tripunctulatus,constellationfish,sternoptychidae,bathypelagic,,3.1,native
vanderhorstia mertensi,mertens' prawn-goby,gobiidae,reef-associated,11.0 tl,3.3,introduced
vanneaugobius dollfusi,dollfus' goby,gobiidae,demersal,,3.1,native
vanneaugobius pruvoti,pruvot's goby,gobiidae,demersal,3.9 tl,3.1,native
vinciguerria attenuata,slender lightfish,phosichthyidae,bathypelagic,4.5 tl,3.0,native
vinciguerria poweriae,power's deep-water bristle-mouth fish,phosichthyidae,bathypelagic,4.3 tl,3.1,native
xiphias gladius,swordfish,xiphiidae,pelagic-oceanic,455.0 fl,4.5,native
xyrichtys novacula,pearly razorfish,labridae,reef-associated,38.0 tl,3.5,native
zebrus pallaoroi,pallaoro's goby,gobiidae,benthopelagic,3.2 sl,3.1,native
zebrus zebrus,,gobiidae,demersal,5.5 tl,3.2,native
zenopsis conchifer,silvery john dory,zeidae,benthopelagic,80.0 tl,4.4,introduced
zeugopterus punctatus,topknot,scophthalmidae,demersal,25.0 sl,4.0,native
zeugopterus regius,eckström's topknot,scophthalmidae,demersal,20.0 tl,4.0,native
zeus faber,john dory,zeidae,benthopelagic,90.0 tl,4.5,native
zu cristatus,scalloped ribbonfish,trachipteridae,bathypelagic,118.0 sl,4.5,native
