ScientificName,Taxon,PrefTemp,tmin,minmetric,tmax,maxmetric
Symphodus rostratus,Fish,18.13,,,,
Symphodus tinca,Fish,19.21,,,,
Symphurus ligulatus,Fish,13.94,,,,
Symphurus nigrescens,Fish,14.28,,,,
Synapturichthys kleinii,Fish,16.02,,,,
Synchiropus phaeton,Fish,13.51,,,,
Syngnathus acus,Fish,16.28,,,,
Syngnathus phlegon,Fish,13.9,,,,
Syngnathus taenionotus,Fish,14.48,,,,
Syngnathus tenuirostris,Fish,21.03,,,,
Syngnathus typhle,Fish,15.9,,,,
Synodus saurus,Fish,16.52,,,,
Thalassoma pavo,Fish,24.29,,,,
Torpedo marmorata,Fish,15.12,,,,
Torpedo nobiliana,Fish,14.19,,,,
Torpedo torpedo,Fish,17.68,,,,
Torquigener flavimaculosus,Fish,17.48,,,,
Trachinus araneus,Fish,15.81,,,,
Trachinus draco,Fish,14.84,,,,
Trachinus radiatus,Fish,15.4,,,,
Trachipterus trachypterus,Fish,13.19,,,,
Trachurus mediterraneus,Fish,15.74,,,,
Trachurus picturatus,Fish,14.17,,,,
Trachurus trachurus,Fish,14.44,,,,
Trachyrincus scabrus,Fish,13.25,,,,
Trachyscorpia cristulata echinata,Fish,13.09,,,,
Trichiurus lepturus,Fish,15.26,,,,
Trigla lyra,Fish,13.98,,,,
Trigloporus lastoviza,Fish,16.11,,,,
Trisopterus capelanus,Fish,13.85,,,,
Trisopterus luscus,Fish,13.18,,,,
Umbrina canariensis,Fish,14.12,,,,
Umbrina cirrosa,Fish,17.63,,,,
Umbrina ronchus,Fish,13.84,,,,
Upeneus moluccensis,Fish,17.03,,,,
Upeneus pori,Fish,18.06,,,,
Uranoscopus scaber,Fish,15.1,,,,
Vinciguerria attenuata,Fish,14.01,,,,
Vinciguerria poweriae,Fish,14.64,,,,
Xiphias gladius,Fish,14.37,,,,
Xyrichtys novacula,Fish,16.85,,,,
Zeugopterus regius,Fish,17.99,,,,
Zeus faber,Fish,14.62,,,,
Abra alba,Mollusca,13.19,,,,
Abra longicallus,Mollusca,13.63,,,,
Abra prismatica,Mollusca,13.9,,,,
Abralia veranyi,Mollusca,13.96,,,,
Abraliopsis morisii,Mollusca,14.33,,,,
Acanthocardia aculeata,Mollusca,14.81,,,,
Acanthocardia echinata,Mollusca,14.25,,,,
Acanthocardia paucicostata,Mollusca,15.81,,,,
Acanthocardia spinosa,Mollusca,14.82,,,,
Acanthocardia tuberculata,Mollusca,13.79,,,,
Aequipecten commutatus,Mollusca,14.15,,,,
Aequipecten opercularis,Mollusca,15.36,,,,
Aglaja tricolorata,Mollusca,15.26,,,,
Alloteuthis media,Mollusca,14.95,,,,
Alloteuthis subulata,Mollusca,14.9,,,,
Amygdalum politum,Mollusca,13.16,,,,
Anadara corbuloides,Mollusca,14.02,,,,
Anadara gibbosa,Mollusca,19.59,,,,
Anadara inaequivalvis,Mollusca,17.98,,,,
Anadara transversa,Mollusca,23.06,,,,
Ancistrocheirus lesueurii,Mollusca,13.58,,,,
Ancistroteuthis lichtensteinii,Mollusca,13.52,,,,
Anomia ephippium,Mollusca,15.93,,,,
Aplysia depilans,Mollusca,19.8,,,,
Aplysia fasciata,Mollusca,14.63,,,,
Aplysia punctata,Mollusca,15,,,,
Aporrhais pespelecani,Mollusca,15.86,,,,
Aporrhais serresianus,Mollusca,13.43,,,,
Arca noae,Mollusca,13.57,,,,
Arca tetragona,Mollusca,14.15,,,,
Arcopagia balaustina,Mollusca,13.75,,,,
Argonauta argo,Mollusca,14.22,,,,
Armina loveni,Mollusca,14.01,,,,
Armina maculata,Mollusca,14.8,,,,
Armina tigrina,Mollusca,14.37,,,,
Atrina fragilis,Mollusca,14.12,,,,
Atrina pectinata,Mollusca,13.55,,,,
Azorinus chamasolen,Mollusca,13.87,,,,
Barbatia barbata,Mollusca,17.64,,,,
Bathypolypus sponsalis,Mollusca,13.52,,,,
Berthella aurantiaca,Mollusca,14.42,,,,
Bittium reticulatum,Mollusca,13.77,,,,
Bivetiella cancellata,Mollusca,14.62,,,,
Bolinus brandaris,Mollusca,17.41,,,,
Bolma rugosa,Mollusca,14.59,,,,
Brachioteuthis riisei,Mollusca,13.26,,,,
Buccinum humphreysianum,Mollusca,13.3,,,,
Bulla striata,Mollusca,14.67,,,,
Bursatella leachi,Mollusca,16.87,,,,
Calliostoma granulatum,Mollusca,14.14,,,,
Calliostoma laugieri,Mollusca,14.48,,,,
Calliostoma zizyphinum,Mollusca,13.98,,,,
Callista chione,Mollusca,18.97,,,,
Callistoctopus macropus,Mollusca,16.86,,,,
Callumbonella suturalis,Mollusca,13.17,,,,
Calyptraea chinensis,Mollusca,15.79,,,,
Capulus ungaricus,Mollusca,13.67,,,,
Cavolinia tridentata,Mollusca,13.61,,,,
Chama gryphoides,Mollusca,14.03,,,,
Chamelea gallina,Mollusca,14.04,,,,
Charonia lampas,Mollusca,14.01,,,,
Chiroteuthis veranii,Mollusca,13.88,,,,
Chtenopteryx sicula,Mollusca,13.65,,,,
Clausinella fasciata,Mollusca,14.12,,,,
Colus gracilis,Mollusca,13.12,,,,
Colus jeffreysianus,Mollusca,13.21,,,,
Coralliophila meyendorffii,Mollusca,16.84,,,,
Crassostrea gigas,Mollusca,15.02,,,,
Crepidula unguiformis,Mollusca,15.87,,,,
Cuspidaria cuspidata,Mollusca,13.14,,,,
Cuspidaria rostrata,Mollusca,14.89,,,,
Cylichna cylindracea,Mollusca,16.65,,,,
Cymbium olla,Mollusca,14.91,,,,
Cymbulia peronii,Mollusca,13.74,,,,
Dendrodoris limbata,Mollusca,14.17,,,,
Diodora gibberula,Mollusca,14.86,,,,
Diodora graeca,Mollusca,16.06,,,,
Diodora italica,Mollusca,14.83,,,,
Discodoris stellifera,Mollusca,14.37,,,,
Doris pseudoargus,Mollusca,14.24,,,,
Doris sticta,Mollusca,14.62,,,,
Doris verrucosa,Mollusca,13.01,,,,
Eledone cirrhosa,Mollusca,13.84,,,,
Eledone moschata,Mollusca,17,,,,
Epitonium clathratulum,Mollusca,13.98,,,,
Epitonium clathrus,Mollusca,13.74,,,,
Epitonium turtonis,Mollusca,14.22,,,,
Euspira catena,Mollusca,13.35,,,,
Euspira fusca,Mollusca,14.71,,,,
Euspira grossularia,Mollusca,13.39,,,,
Euspira guilleminii,Mollusca,14.46,,,,
Euspira nitida,Mollusca,13.46,,,,
Euthria cornea,Mollusca,15.76,,,,
Felimare picta,Mollusca,13.6,,,,
Flexopecten flexuosus,Mollusca,14.38,,,,
Flexopecten glaber glaber,Mollusca,14.81,,,,
Flexopecten glaber proteus,Mollusca,18.55,,,,
Fusinus rostratus,Mollusca,13.85,,,,
Fusinus syracusanus,Mollusca,13.71,,,,
Fusiturris similis,Mollusca,13.39,,,,
Fusiturris undatiruga,Mollusca,13.17,,,,
Galeodea echinophora,Mollusca,14.29,,,,
Galeodea rugosa,Mollusca,13.57,,,,
Gastropteron rubrum,Mollusca,14.35,,,,
Gibbomodiola adriatica,Mollusca,15.74,,,,
Gibbula magus,Mollusca,15.33,,,,
Glossus humanus,Mollusca,13.91,,,,
Glycymeris glycymeris,Mollusca,15.85,,,,
Hadriania craticulata,Mollusca,14.26,,,,
Haminoea navicula,Mollusca,14.85,,,,
Heteroteuthis dispar,Mollusca,13.78,,,,
Hexaplex trunculus,Mollusca,18.4,,,,
Hiatella arctica,Mollusca,14.16,,,,
Hiatella rugosa,Mollusca,15.9,,,,
Hirtomurex squamosus,Mollusca,13.49,,,,
Histioteuthis bonnellii,Mollusca,13.68,,,,
Histioteuthis reversa,Mollusca,13.63,,,,
Illex coindetii,Mollusca,14.27,,,,
Janthina pallida,Mollusca,13.96,,,,
Jorunna tomentosa,Mollusca,13.19,,,,
Kaloplocamus ramosus,Mollusca,13.41,,,,
Laevicardium crassum,Mollusca,14.33,,,,
Laevicardium oblongum,Mollusca,15.73,,,,
Lamellaria perspicua,Mollusca,13.61,,,,
Lima lima,Mollusca,14.53,,,,
Limaria hians,Mollusca,13.52,,,,
Loligo forbesii,Mollusca,14.22,,,,
Loligo vulgaris,Mollusca,16.92,,,,
Macrotritopus defilippi,Mollusca,14.07,,,,
Marionia blainvillea,Mollusca,14.16,,,,
Mimachlamys varia,Mollusca,14.69,,,,
Modiolus barbatus,Mollusca,23.19,,,,
Monia squama,Mollusca,13.75,,,,
Monoplex corrugatus,Mollusca,15.25,,,,
Musculus discoris,Mollusca,13.69,,,,
Musculus subpictus,Mollusca,15.25,,,,
Mytilus edulis,Mollusca,14.96,,,,
Mytilus galloprovincialis,Mollusca,15.63,,,,
Nassarius incrassatus,Mollusca,14.83,,,,
Nassarius reticulatus,Mollusca,13.48,,,,
Naticarius hebraeus,Mollusca,15.18,,,,
Naticarius stercusmuscarum,Mollusca,15.96,,,,
Neopycnodonte cochlear,Mollusca,14.26,,,,
Neorossia caroli,Mollusca,13.74,,,,
Neverita josephinia,Mollusca,14.71,,,,
Notarchus punctatus,Mollusca,24.97,,,,
Nucula nucleus,Mollusca,16.44,,,,
Nucula sulcata,Mollusca,14.14,,,,
Ocenebra erinaceus,Mollusca,18.77,,,,
Octopoteuthis sicula,Mollusca,14.34,,,,
Octopus salutii,Mollusca,13.54,,,,
Octopus vulgaris,Mollusca,15.14,,,,
Ocythoe tuberculata,Mollusca,13.27,,,,
Okenia elegans,Mollusca,14.46,,,,
Ommastrephes bartramii,Mollusca,13.62,,,,
Onychoteuthis banksii,Mollusca,13.56,,,,
Opisthoteuthis calypso,Mollusca,13.16,,,,
Ostrea edulis,Mollusca,16.03,,,,
Pagodula echinata,Mollusca,14.34,,,,
Pecten jacobaeus,Mollusca,16.99,,,,
Pecten maximus,Mollusca,15.1,,,,
Peltodoris atromaculata,Mollusca,14.92,,,,
Philine aperta,Mollusca,15.7,,,,
Philinopsis depicta,Mollusca,14.8,,,,
Pinna nobilis,Mollusca,15.94,,,,
Pinna rudis,Mollusca,14.28,,,,
Platydoris argo,Mollusca,15.26,,,,
Pleurobranchaea meckeli,Mollusca,15.62,,,,
Pleurobranchus membranaceus,Mollusca,14.87,,,,
Pleurobranchus testudinarius,Mollusca,14.84,,,,
Pseudamussium clavatum,Mollusca,14.8,,,,
Pseudochama gryphina,Mollusca,17.9,,,,
Pseudosimnia adriatica,Mollusca,13.64,,,,
Pseudosimnia carnea,Mollusca,13.46,,,,
Pteria hirundo,Mollusca,14.78,,,,
Pteroctopus tetracirrhus,Mollusca,13.7,,,,
Pyroteuthis margaritifera,Mollusca,13.89,,,,
Ranella olearium,Mollusca,13.69,,,,
Rondeletiola minor,Mollusca,13.9,,,,
Rossia macrosoma,Mollusca,13.82,,,,
Rostanga rubra,Mollusca,13.99,,,,
Scaeurgus unicirrhus,Mollusca,14.25,,,,
Scaphander lignarius,Mollusca,13.8,,,,
Semicassis granulata,Mollusca,15.96,,,,
Semicassis saburon,Mollusca,13.39,,,,
Sepia elegans,Mollusca,14.97,,,,
Sepia officinalis,Mollusca,17.05,,,,
Sepia orbignyana,Mollusca,14.4,,,,
Sepietta neglecta,Mollusca,14.11,,,,
Sepietta obscura,Mollusca,15.21,,,,
Sepietta oweniana,Mollusca,13.82,,,,
Sepiola affinis,Mollusca,14.03,,,,
Sepiola intermedia,Mollusca,14.97,,,,
Sepiola ligulata,Mollusca,14.8,,,,
Sepiola robusta,Mollusca,13.71,,,,
Sepiola rondeletii,Mollusca,14.46,,,,
Solecurtus scopula,Mollusca,14.12,,,,
Spisula solida,Mollusca,13.44,,,,
Spisula subtruncata,Mollusca,16.85,,,,
Stoloteuthis leucoptera,Mollusca,13.33,,,,
Tellina fabula,Mollusca,14.39,,,,
Tellina planata,Mollusca,14.1,,,,
Tenagodus obtusus,Mollusca,14.8,,,,
Teredo navalis,Mollusca,15.51,,,,
Tethys fimbria,Mollusca,15.04,,,,
Thracia convexa,Mollusca,14.79,,,,
Todarodes sagittatus,Mollusca,13.82,,,,
Todaropsis eblanae,Mollusca,14.07,,,,
Tonna galea,Mollusca,17.08,,,,
Tritonia hombergii,Mollusca,14.01,,,,
Trophonopsis muricata,Mollusca,14.57,,,,
Turritella communis,Mollusca,14.21,,,,
Turritella turbona,Mollusca,15.36,,,,
Umbraculum umbraculum,Mollusca,14.28,,,,
Venus casina,Mollusca,14.49,,,,
Venus nux,Mollusca,14.04,,,,
Venus verrucosa,Mollusca,14.64,,,,
Xenophora crispa,Mollusca,13.46,,,,
Aplidium conicum,Tunicata,15.74,,,,
Aplidium elegans,Tunicata,15.09,,,,
Aplidium haouarianum,Tunicata,15.18,,,,
Aplidium nordmanni,Tunicata,14.6,,,,
Aplidium pallidum,Tunicata,16.4,,,,
Ascidia involuta,Tunicata,14.71,,,,
Ascidia mentula,Tunicata,15.42,,,,
Ascidia virginea,Tunicata,15.94,,,,
Ascidiella aspersa,Tunicata,15.31,,,,
Ascidiella scabra,Tunicata,14.03,,,,
Botrylloides leachii,Tunicata,15.21,,,,
Botryllus schlosseri,Tunicata,16.1,,,,
Ciona intestinalis,Tunicata,14.99,,,,
Cystodytes dellechiajei,Tunicata,14.39,,,,
Diazona violacea,Tunicata,14.4,,,,
Didemnum maculosum,Tunicata,14.88,,,,
Diplosoma listerianum,Tunicata,14.77,,,,
Distaplia magnilarva,Tunicata,13.98,,,,
Distomus variolosus,Tunicata,16.38,,,,
Eudistoma mucosum,Tunicata,15.16,,,,
Halocynthia papillosa,Tunicata,15.76,,,,
Microcosmus claudicans,Tunicata,16.76,,,,
Microcosmus polymorphus,Tunicata,14.66,,,,
Microcosmus sabatieri,Tunicata,13.88,,,,
Microcosmus squamiger,Tunicata,13.88,,,,
Microcosmus vulgaris,Tunicata,16.73,,,,
Molgula appendiculata,Tunicata,14.74,,,,
Molgula occulta,Tunicata,14.99,,,,
Molgula socialis,Tunicata,14.6,,,,
Phallusia mammillata,Tunicata,15.47,,,,
Polyandrocarpa arianae,Tunicata,13.79,,,,
Polycarpa fibrosa,Tunicata,15.27,,,,
Polycarpa mamillaris,Tunicata,15.03,,,,
Polycarpa pomaria,Tunicata,14.76,,,,
Polycitor adriaticus,Tunicata,14.17,,,,
Polyclinella azemai,Tunicata,14.68,,,,
Pseudodistoma cyrnusense,Tunicata,15.06,,,,
Pyrosoma atlanticum,Tunicata,13.75,,,,
Pyura dura,Tunicata,14.69,,,,
Pyura microcosmus,Tunicata,14.7,,,,
Pyura tessellata,Tunicata,14.66,,,,
Salpa maxima,Tunicata,13.91,,,,
Soestia zonaria,Tunicata,13.46,,,,
Styela canopus,Tunicata,13.88,,,,
Synoicum blochmanni,Tunicata,14.65,,,,
Thalia democratica,Tunicata,15.59,,,,
